Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%
GET,地址查询,390,0,1600,1288.509103,49.1077,4344.3163,108.4076923,0.943138538,0,1600,2000,2200,2300,2500,2800,2900,3100,4300,4300,4300
POST,提交订单,757,0,1400,1256.050999,48.9873,3320.3169,80.7992074,1.830656086,0,1400,2000,2100,2200,2500,2900,3100,3100,3300,3300,3300
POST,注册账号,827,0,1700,1538.080816,59.1713,13414.7057,78,1.999937362,0,1700,2000,2200,2300,2800,3000,6300,12000,13000,13000,13000
POST,添加购物�?1646,0,1600,1307.663875,47.9738,12094.1165,1382.887606,3.980528292,0,1600,2000,2100,2200,2500,2800,3000,3100,10000,12000,12000,
POST,登录账号,1619,0,1600,1495.305668,59.8955,13003.7787,50,3.915234085,0,1600,2000,2200,2300,2700,3000,3900,12000,13000,13000,13000
GET,登录首页,4169,0,1600,1478.393291,52.4848,13171.6146,4273,10.08190914,0,1600,2000,2100,2200,2700,2900,10000,12000,13000,13000,13000
POST,获取信息token,1610,0,1700,1547.745371,60.5103,13003.9825,50,3.89346935,0,1700,2000,2200,2300,2800,3000,4100,12000,13000,13000,13000
POST,获取订单token,761,0,1600,1485.442587,60.0393,13042.4802,50,1.840329301,0,1600,2000,2100,2200,2700,3000,9400,12000,13000,13000,13000
POST,获取购物车token,1657,0,1700,1537.60074,58.7551,12969.7424,50,4.007129635,0,1700,2000,2200,2300,2700,3000,9400,12000,13000,13000,13000
GET,订单查询,384,0,1600,1258.406518,50.7294,3996.624,14299.875,0.928628714,0,1600,1900,2100,2200,2500,2800,3000,3200,4000,4000,4000
GET,账号查询,420,0,1700,1348.893365,49.0892,3160.353,71.86428571,1.015687656,0,1700,2000,2200,2200,2500,2800,2900,3100,3200,3200,3200
GET,购物车查�?400,0,1700,1342.600696,49.7043,3283.2848,1317.215,0.967321578,0,1700,2000,2100,2200,2500,2800,3000,3100,3300,3300,3300,
,Aggregated,14640,0,1600,1449.383751,47.9738,13414.7057,1816.181079,35.40396974,0,1600,2000,2200,2200,2700,2900,3300,12000,13000,13000,13000
